sourceTaxonID	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation	referenceUrl
EOL:963560	Agarum cribrosum		habitatFor	EOL:2604866	crab	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:963560	Agarum cribrosum		habitatFor	EOL:1011820	Cyclopterus lumpus	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:963560	Agarum cribrosum		habitatFor	EOL:1926	Echinodermata	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:963560	Agarum cribrosum		habitatFor	EOL:224625	Liparis tunicata	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:963560	Agarum cribrosum		habitatFor	EOL:619397	Littorina obtusata	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:963560	Agarum cribrosum		habitatFor	EOL:205084	Mallotus villosus	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:963560	Agarum cribrosum		habitatFor	EOL:619494	Margarita helicina	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:963560	Agarum cribrosum		habitatFor	EOL:502990	Nucella lapillus	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:963560	Agarum cribrosum		habitatFor	EOL:212353	Pholis gunellus	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1049773	Alle alle	RO:0002470	eats	EOL:1158	amphipod	GEONAMES:3425505	Greenland						http://eol.org/data_objects/31375811
EOL:1049773	Alle alle	RO:0002470	eats	EOL:1278	Euphausiacea	GEONAMES:3425505	Greenland						http://eol.org/data_objects/31375811
EOL:1049773	Alle alle	RO:0002470	eats	EOL:2604866	crab	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1049773	Alle alle	RO:0002470	eats	EOL:1278	Euphausiacea	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:107300	Alnus		cooccurs	EOL:5664	basidiomycete	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1053894	Alopex lagopus	RO:0002470	eats	EOL:8001	Laridae	GEONAMES:3425505	Greenland						http://eol.org/data_objects/10539763
EOL:1053894	Alopex lagopus	RO:0002470	eats	EOL:1052765	Calcarius lapponicus	GEONAMES:3425505	Greenland						http://eol.org/data_objects/31303298
EOL:1053894	Alopex lagopus	RO:0002470	eats	EOL:13736	Carduelis	GEONAMES:3425505	Greenland						http://eol.org/data_objects/31303298
EOL:1053894	Alopex lagopus	RO:0002470	eats		carrion	GEONAMES:3425505	Greenland						http://eol.org/data_objects/31303298
EOL:1053894	Alopex lagopus	RO:0002470	eats	EOL:900211	Lagopus mutus	GEONAMES:3425505	Greenland						http://eol.org/data_objects/31303298
EOL:1053894	Alopex lagopus	RO:0002470	eats	EOL:988114	Lepus arcticus	GEONAMES:3425505	Greenland						http://eol.org/data_objects/31303298
EOL:1053894	Alopex lagopus	RO:0002470	eats	EOL:1052768	Plectrophenax nivalis	GEONAMES:3425505	Greenland						http://eol.org/data_objects/31303298
EOL:1053894	Alopex lagopus	RO:0002470	eats	EOL:328422	Dicrostonyx torquatus	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:6668703	Alpova diplophloeus		cooccurs	EOL:107300	Alnus	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1158	amphipod	RO:0002470	eats		ice algae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:28124	Anarhichas	RO:0002470	eats	EOL:1926	Echinodermata	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:2760803	Anoplura	RO:0002445	parasitizes	EOL:1053894	Alopex lagopus	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:2760803	Anoplura	RO:0002445	parasitizes	EOL:328631	Erignathus barbatus	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:2760803	Anoplura	RO:0002445	parasitizes	EOL:328627	Odobenus rosmarus	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:2760803	Anoplura	RO:0002445	parasitizes	EOL:328629	Phoca vitulina	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1266357	Anser albifrons flaviostris	RO:0002470	eats	EOL:583132	Hippuris vulgaris	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1266357	Anser albifrons flaviostris	RO:0002470	eats	EOL:583132	Hippuris vulgaris	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1266357	Anser albifrons flaviostris	RO:0002470	eats	EOL:583132	Hippuris vulgaris	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1266357	Anser albifrons flaviostris	RO:0002470	eats	EOL:583132	Hippuris vulgaris	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1048460	Anser caerulescens	RO:0002470	eats	EOL:4178	Juncaginaceae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1048460	Anser caerulescens	RO:0002470	eats	EOL:4178	Juncaginaceae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1048460	Anser caerulescens	RO:0002470	eats	EOL:4178	Juncaginaceae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1048460	Anser caerulescens	RO:0002470	eats	EOL:4178	Juncaginaceae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:551	Aphidoidea	RO:0002470	eats	EOL:8211	Cyperaceae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:551	Aphidoidea	RO:0002470	eats	EOL:8223	Poaceae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:551	Aphidoidea	RO:0002470	eats	EOL:32667	Salix	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1031756	Armillaria lutea	RO:0002445	parasitizes	EOL:44475	Betula	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1031756	Armillaria lutea	RO:0002445	parasitizes	EOL:34193	Larix	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1031756	Armillaria lutea	RO:0002445	parasitizes	EOL:14029	Picea	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:328577	Balaena mysticetus	RO:0002470	eats	EOL:2625033	copepod	GEONAMES:3425505	Greenland						http://eol.org/data_objects/30950963
EOL:328577	Balaena mysticetus	RO:0002470	eats	EOL:1278	Euphausiacea	GEONAMES:3425505	Greenland						http://eol.org/data_objects/30950963
EOL:328577	Balaena mysticetus	RO:0002470	eats	EOL:4930431	pteropod	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:328570	Balaenoptera acutorostrata	RO:0002470	eats	EOL:203867	Boreogadus saida	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:328570	Balaenoptera acutorostrata	RO:0002470	eats	EOL:2312	cephalopod	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:328570	Balaenoptera acutorostrata	RO:0002470	eats	EOL:847095	Clupea harengus	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:328570	Balaenoptera acutorostrata	RO:0002470	eats	EOL:2625033	copepod	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:328570	Balaenoptera acutorostrata	RO:0002470	eats	EOL:1278	Euphausiacea	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:328570	Balaenoptera acutorostrata	RO:0002470	eats	EOL:205084	Mallotus villosus	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:328574	Balanoptera musculus	RO:0002470	eats	EOL:1278	Euphausiacea	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:336009	Balanus balanoides	RO:0002470	eats	ENVO:01000063	plankton	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:44475	Betula		cooccurs	EOL:5664	basidiomycete	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:44475	Betula		habitatFor	EOL:1052765	Calcarius lapponicus	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:44475	Betula		habitatFor	EOL:13736	Carduelis	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:44475	Betula		cooccurs	EOL:583648	Ledum palustre	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:44475	Betula		cooccurs	EOL:29929	Sorbus	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:44475	Betula		cooccurs	EOL:484410	Vaccinium vitis-idaea	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:2215	bivalve	RO:0002470	eats	ENVO:01000063	plankton	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:203867	Boreogadus saida	RO:0002470	eats	EOL:1158	amphipod	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:203867	Boreogadus saida	RO:0002470	eats	EOL:2625033	copepod	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:203867	Boreogadus saida	RO:0002470	eats	EOL:1278	Euphausiacea	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1273268	Branta bernicla hrota	RO:0002470	eats	EOL:8211	Cyperaceae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1273268	Branta bernicla hrota	RO:0002470	eats	EOL:8211	Cyperaceae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1273268	Branta bernicla hrota	RO:0002470	eats	EOL:8211	Cyperaceae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1273268	Branta bernicla hrota	RO:0002470	eats	EOL:8211	Cyperaceae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:913235	Branta canadensis	RO:0002470	eats	EOL:8223	Poaceae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:913235	Branta canadensis	RO:0002470	eats	EOL:8223	Poaceae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:913235	Branta canadensis	RO:0002470	eats	EOL:8223	Poaceae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:913235	Branta canadensis	RO:0002470	eats	EOL:8223	Poaceae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1052765	Calcarius lapponicus	RO:0002470	eats	EOL:482	Chironomidae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1049497	Calidris alpina	RO:0002470	eats	EOL:1158	amphipod	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1049497	Calidris alpina	RO:0002470	eats	EOL:336009	Balanus balanoides	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:328607	Canis lupus	RO:0002470	eats	EOL:328422	Dicrostonyx torquatus	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:328607	Canis lupus	RO:0002470	eats	EOL:328631	Erignathus barbatus	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:328607	Canis lupus	RO:0002470	eats	EOL:988114	Lepus arcticus	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:328607	Canis lupus	RO:0002470	eats	EOL:328656	Ovibos moschatus	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:328607	Canis lupus	RO:0002470	eats	EOL:328629	Phoca vitulina	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:13736	Carduelis	RO:0002470	eats	EOL:482	Chironomidae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:583644	Cassiope tetragona		cooccurs	EOL:587346	Huperzia selago	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:583644	Cassiope tetragona		cooccurs	EOL:38102	Pedicularis	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:728412	Cephenemyia trompe	RO:0002445	parasitizes	EOL:328653	Rangifer tarandus	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:567	Cicadellidae	RO:0002470	eats	EOL:8211	Cyperaceae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:567	Cicadellidae	RO:0002470	eats	EOL:8223	Poaceae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:567	Cicadellidae	RO:0002470	eats	EOL:32667	Salix	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:847095	Clupea harengus	RO:0002470	eats	EOL:4930431	pteropod	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1745	Cnidaria	RO:0002470	eats	ENVO:01000063	plankton	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:2646078	Coccoidea	RO:0002470	eats	EOL:8211	Cyperaceae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:2646078	Coccoidea	RO:0002470	eats	EOL:8223	Poaceae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:2646078	Coccoidea	RO:0002470	eats	EOL:32667	Salix	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:2625033	copepod	RO:0002470	eats		ice algae	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:2625033	copepod	RO:0002470	eats	ENVO:01000063	plankton	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1177364	Corvus corax	RO:0002470	eats	EOL:1049773	Alle alle	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
EOL:1177364	Corvus corax	RO:0002470	eats	EOL:336009	Balanus balanoides	GEONAMES:3425505	Greenland					Jensen & Christensen (Eds) 2003. The Biodiversity of Greenland - A Country Study. Technical Report 55.  Pinngortitaleriffik, Grønlands Naturinstitut. 165 pp	
